GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PostBucketRequest,233,39,20,0,46,14,27,7,17,7
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TaskStatusType,2,56,1,3,1,11,1,6,0,5
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PagerDutyNotificationRule,64,3,8,0,14,1,8,1,4,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TableViewPropertiesTableOptions.WrappingEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,FunctionExpression,188,11,18,0,40,3,23,1,14,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,QueryVariablePropertiesValues,102,19,12,0,21,7,12,5,6,5
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Organization,135,135,21,1,27,26,20,11,9,11
The Java InfluxDB 2.x Client,com.influxdb.client.domain,WriteConsistency.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ArrayExpression.ArrayExpressionElementsAdapter,390,0,48,0,58,0,29,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BooleanLiteral,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ImportDeclaration,161,0,14,0,37,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DateTimeLiteral,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MapVariableProperties.TypeEnum,8,43,2,2,2,9,3,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DeadmanCheck.TypeEnum,8,43,2,2,2,9,3,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,GreaterThreshold.TypeEnum,8,43,2,2,2,9,3,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,FluxSuggestions,92,11,10,0,23,3,12,2,7,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DictExpression,162,0,16,0,35,0,20,0,12,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ViewLinks,80,3,8,0,20,1,11,1,7,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ShardGroupManifest,269,0,20,0,59,0,34,0,24,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SimpleTableViewProperties.ShapeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiffBucketsNewOld,175,0,16,0,40,0,23,0,15,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RemoteConnectionCreationRequest,295,0,22,0,65,0,37,0,26,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PostUser.StatusEnum,8,50,2,2,2,10,3,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DictItem,161,0,14,0,37,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiffVariables,266,0,20,0,59,0,33,0,23,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RestoredBucketMappings,167,0,14,0,38,0,22,0,15,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RuleStatusLevel.Adapter,0,16,0,0,0,5,0,3,0,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BuilderTagsType,178,0,16,0,41,0,23,0,15,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BucketShardMapping,121,0,12,0,28,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,VariableLinks,146,9,14,0,32,3,18,3,11,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,XYGeom.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,GaugeViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,UnsignedIntegerLiteral,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CellUpdate,166,23,16,0,33,9,20,5,12,5
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Permission.ActionEnum,2,56,1,3,1,11,1,6,0,5
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ParenExpression,139,6,14,0,29,2,17,1,10,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Buckets,130,14,14,0,30,4,17,2,10,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Telegraf,176,14,18,0,35,4,20,2,11,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DashboardColor.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RemoteConnections,103,0,10,0,26,0,14,0,9,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CustomCheck.TypeEnum.Adapter,13,3,0,0,4,1,2,1,2,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CustomCheck,102,0,12,0,20,0,12,0,6,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,NotificationRuleUpdate,137,18,14,0,28,7,17,4,10,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HealthCheck,248,29,22,0,50,11,28,7,17,7
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ArrayExpression,162,0,16,0,35,0,20,0,12,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TagRule,128,27,14,0,25,10,14,7,7,7
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DashboardWithViewProperties,281,0,24,0,59,0,32,0,20,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Checks,127,17,14,0,29,5,16,3,9,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummarySummaryTasks,450,0,32,0,97,0,55,0,39,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,User.StatusEnum.Adapter,6,10,0,0,2,3,1,2,1,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ThresholdCheck,263,49,26,0,49,16,26,10,13,10
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Logs,68,11,8,0,15,3,8,2,4,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Authorizations,130,14,14,0,30,4,17,2,10,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Block,162,0,16,0,35,0,20,0,12,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PatchRetentionRule.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,FloatLiteral,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,StackAssociations,124,0,12,0,29,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CheckPatch.StatusEnum.Adapter,7,9,0,0,2,3,1,2,1,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SMTPNotificationRuleBase.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BadStatement,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Query.TypeEnum,30,21,4,0,5,6,4,3,2,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CheckViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MosaicViewProperties.HoverDimensionEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CellLinks,112,9,12,0,25,3,14,3,8,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,NotificationRuleUpdate.StatusEnum,6,52,1,3,2,10,2,5,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiffVariablesNewOld,158,0,14,0,36,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,QueryVariableProperties.TypeEnum,8,43,2,2,2,9,3,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Axis.BaseEnum,65,0,4,0,13,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummarySummaryVariables,405,0,30,0,89,0,49,0,34,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SimpleTableViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Task,373,332,48,2,77,60,53,26,29,25
The Java InfluxDB 2.x Client,com.influxdb.client.domain,VariableAssignment.VariableAssignmentInitAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,AuthorizationUpdateRequest.StatusEnum,2,56,1,3,1,11,1,6,0,5
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LabelCreateRequest,142,34,15,1,28,12,17,6,9,6
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LogEvent,63,65,13,1,11,12,10,5,3,5
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SchemaType.Adapter,13,3,0,0,4,1,2,1,2,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,NotificationEndpointType.Adapter,0,16,0,0,0,5,0,3,0,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Scripts,103,0,10,0,26,0,14,0,9,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,QueryVariableProperties,119,20,14,0,21,7,12,4,5,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ResourceMember.RoleEnum,11,40,2,2,3,8,4,3,2,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,FluxResponse,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CallExpression,182,17,18,0,38,5,21,3,12,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PostRestoreKVResponse,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Organization.StatusEnum.Adapter,13,3,0,0,4,1,2,1,2,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DBRPGet,86,0,8,0,22,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,XYViewProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,OnboardingRequest,272,19,22,0,54,9,32,5,21,5
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegrafRequest,193,33,18,0,37,13,20,9,11,9
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ThresholdCheck.TypeEnum,8,43,2,2,2,9,3,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RangeThreshold.TypeEnum,8,43,2,2,2,9,3,4,1,4
