GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Field.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MosaicViewProperties.ShapeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,QueryVariableProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Duration,155,0,14,0,35,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RunManually,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SchemaType,58,0,4,0,12,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Variable.VariableArgumentsAdapter,90,0,6,0,14,0,8,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Run.StatusEnum,79,0,4,0,15,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ResourceOwner.RoleEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MarkdownViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegramNotificationRuleBase.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BuilderConfig,252,0,22,0,58,0,31,0,20,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BandViewProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ResourceOwner.RoleEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HeatmapViewProperties.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,User,220,0,18,0,47,0,27,0,18,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RuleStatusLevel,86,0,4,0,16,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PatchRetentionRule,149,0,14,0,32,0,19,0,12,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Variable,430,0,32,0,92,0,51,0,35,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,WritePrecision.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SecretKeysResponse,111,0,12,0,24,0,14,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DurationLiteral,162,0,16,0,35,0,20,0,12,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ReplicationCreationRequest,371,0,26,0,83,0,45,0,32,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MarkdownViewProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiffBuckets,266,0,20,0,59,0,33,0,23,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PostOrganizationRequest,121,0,12,0,28,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Tasks,144,0,14,0,34,0,19,0,12,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Property,161,0,14,0,37,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SourceLinks,189,0,16,0,42,0,25,0,17,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CheckStatusLevel,30,49,4,0,5,10,4,3,2,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,User.StatusEnum,58,0,4,0,12,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,NotificationEndpointBase,438,0,32,0,91,0,51,0,35,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Error.CodeEnum,135,0,4,0,23,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BandViewProperties,1087,0,70,0,225,0,124,0,89,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Ready.StatusEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummarySummary,701,0,56,0,158,0,81,0,53,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,XYViewProperties.ShapeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MarkdownViewProperties.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CallExpression.CallExpressionCalleeAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,GaugeViewProperties,463,0,32,0,94,0,52,0,36,0
